place_standardized_id,place_standardized,country_code,place_standardized_cc,authority_file_uri,latitude,longitude,region,n
6043,Engers,DE,Engers DE,http://sws.geonames.org/2930166/,50.43106,7.54415,D,0
6044,Englefontaine,FR,Englefontaine FR,http://sws.geonames.org/3020184/,50.19091,3.64401,F,0
6045,Ennigerloh,DE,Ennigerloh DE,http://sws.geonames.org/2930030/,51.83843,8.03093,B,0
6046,Ensted,DK,Ensted DK,http://sws.geonames.org/2622478/,54.98333,9.4,C,0
6047,Entrevaux,FR,Entrevaux FR,http://sws.geonames.org/3020119/,43.95723,6.79681,F,0.6931471805599453
6048,Epfig,FR,Epfig FR,http://sws.geonames.org/3020051/,48.35933,7.46427,D,0
6049,Épinal,FR,Épinal FR,http://sws.geonames.org/3020035/,48.18324,6.45304,D,0
6050,Eppenhuizen,NL,Eppenhuizen NL,http://sws.geonames.org/2756053/,53.38083,6.69722,A,0
6051,Eppenrod,DE,Eppenrod DE,http://sws.geonames.org/2929841/,50.40472,7.92972,D,0
6052,Erdeven,FR,Erdeven FR,http://sws.geonames.org/3019930/,47.6421,-3.15706,F,0
6053,Erding,DE,Erding DE,http://sws.geonames.org/2929715/,48.30603,11.90686,D,0
6054,Erdmannhausen,DE,Erdmannhausen DE,http://sws.geonames.org/2929708/,48.94256,9.29615,D,0
6055,Eresing,DE,Eresing DE,http://sws.geonames.org/2929689/,48.087,11.02388,D,0
6056,Eriswil,CH,Eriswil CH,http://sws.geonames.org/2660876/,47.07816,7.85149,D,0.6931471805599453
6057,Erkrath,DE,Erkrath DE,http://sws.geonames.org/2929600/,51.22235,6.90831,D,0
6058,Erl,AT,Erl AT,http://sws.geonames.org/2779982/,47.68333,12.18333,D,0.6931471805599453
6059,Ermatingen,CH,Ermatingen CH,http://sws.geonames.org/2660869/,47.67057,9.08573,D,0
6060,Ermont,FR,Ermont FR,http://sws.geonames.org/3019897/,48.99004,2.25804,F,3.1354942159291497
6061,Ermsdorf,LU,Ermsdorf LU,http://sws.geonames.org/2960608/,49.82944,6.22278,F,0.6931471805599453
